4.541482641340355286e-12,4.454980289292538587e-14,1.272282695863324875e-10,4.545467557903748457e-09,2.781093584591776136e-11,4.877719402429647744e-05,7.443324534506245982e-07,7.243413335800141795e-08,2.847686642780900002e-03,3.747662276509799995e-06,2.195551005541515610e-13,2.424737249384634197e-05,1.202529308769184624e-11,2.378454373683780432e-04,7.425501346588134766e-01,2.542846202850341797e-01,2.154419689759379253e-06
1.160323573334842706e-12,1.194210047114564657e-15,5.638129123731322467e-14,5.056621787957737979e-09,8.201215748182555387e-12,1.225513406097888947e-04,1.020892113956506364e-06,5.971658974885940552e-04,1.277960254810750484e-04,1.211216749652521685e-05,5.861161707886031191e-14,6.334282716125017032e-07,8.965207591062063219e-13,2.927677705883979797e-04,9.513339996337890625e-01,4.734082892537117004e-02,1.711767399683594704e-04
1.329233489770487164e-12,4.855638816508378933e-15,4.026950146496059701e-14,1.111336711545618527e-08,6.856576938163438939e-12,3.377278044354170561e-04,2.286789367644814774e-06,9.545548819005489349e-03,7.277420081663876772e-05,2.030562791333068162e-05,1.431891172472277152e-13,5.240289624452998396e-07,4.959465997600442932e-13,4.052926960866898298e-04,9.202014803886413574e-01,6.930934637784957886e-02,1.047313126036897302e-04
2.038322427511118917e-10,1.537260580332724946e-13,9.224162232646104798e-13,1.764493333666905528e-07,4.045710706550298408e-13,2.166725171264261007e-04,8.186697232304140925e-05,1.910088816657662392e-03,5.771779105998575687e-04,3.867101895593805239e-06,3.563668240710859969e-12,1.182641995001176838e-06,9.464328192682058827e-13,5.162246525287628174e-04,4.808678925037384033e-01,5.045400857925415039e-01,1.128477510064840317e-02
3.971393491841723744e-10,1.690706985356263750e-15,1.730051215134698062e-12,8.170792376027691262e-10,4.339099914064340618e-15,1.925466222019167617e-07,4.825736104976385832e-04,3.673979563245666213e-06,2.163623685191851109e-05,1.262274035296329089e-10,3.538757286335181274e-14,5.953271511316415854e-07,2.309557642246433395e-14,2.587964445410761982e-06,2.000432432396337390e-04,9.347127676010131836e-01,6.457580626010894775e-02
5.984197173347638454e-07,2.304756802073981703e-10,5.746524493588367477e-06,3.931096281828416750e-10,1.197545396180998978e-10,4.709433767402515514e-07,6.061843669158406556e-05,1.385087267102846909e-09,1.480312948842765763e-05,2.477857918847803376e-08,7.153652670233157096e-11,8.616985380649566650e-02,1.604192299831108670e-11,1.066083967771191965e-07,1.180815729640016798e-06,9.118557572364807129e-01,1.890890533104538918e-03
3.548131207935512066e-04,1.365566992816980019e-09,2.242444306612014771e-01,2.974710184844298055e-07,2.103780629113316536e-03,5.997172411298379302e-05,2.664793555595679209e-06,1.383399705900956178e-08,3.281586803495883942e-03,7.165911956690251827e-04,8.594305427322979085e-07,2.115524411201477051e-01,5.280406298879825044e-07,8.942191925598308444e-06,1.636070578570070211e-06,5.373529791831970215e-01,2.031852491199970245e-02
1.508034416474401951e-03,9.795158462111430708e-09,1.679696724750101566e-03,2.871106153179425746e-05,2.498663961887359619e-02,3.730539432922341803e-08,5.697805681847967207e-05,4.581549717386224074e-08,1.285397708415985107e-01,3.086665237788110971e-04,2.175288955186260864e-06,2.621503919363021851e-02,3.892067252309061587e-05,1.948015960806515068e-05,1.294832941312051844e-06,8.147235512733459473e-01,1.890846877358853817e-03
2.696311618421987077e-09,3.820182836733465592e-09,2.307172166183590889e-03,2.608352422939219650e-11,7.160203949752030894e-06,3.330929754241651608e-09,3.518801960922246508e-08,1.723420350691290490e-15,1.325106015428900719e-03,2.128586196192827629e-08,1.636152151263114973e-11,9.752259850502014160e-01,5.749674869548471179e-07,4.470409464829572244e-07,4.566329536714874848e-09,2.107078768312931061e-02,6.262647366384044290e-05
4.227619143648553290e-08,8.057257332438894082e-07,4.587335861288011074e-04,2.056238068703919453e-09,4.354407792561687529e-06,1.039202179526910186e-04,5.102846216686884873e-07,7.869194879051022440e-12,2.080090902745723724e-02,3.491969664537464269e-07,8.729740264001861760e-10,2.449295520782470703e-01,2.834087524661299540e-07,1.004756882139190566e-06,2.046230349606048549e-07,7.176156640052795410e-01,1.608368754386901855e-02
